,text,time,confidence,top emotions,conv_metrics
0,"It's not about fairness, Jessica,","{'begin': 0.35883617, 'end': 2.1131463}",0.947168,"[{'name': 'Doubt', 'score': 0.22964248061180115}, {'name': 'Confusion', 'score': 0.15215051174163818}, {'name': 'Awkwardness', 'score': 0.13490408658981323}, {'name': 'Interest', 'score': 0.11762595176696777}, {'name': 'Excitement', 'score': 0.11593089252710342}]","3,2,2"
1,this business.,"{'begin': 2.7510774, 'end': 3.4687498}",0.9326172,"[{'name': 'Interest', 'score': 0.13001462817192078}, {'name': 'Excitement', 'score': 0.1164640411734581}, {'name': 'Surprise (positive)', 'score': 0.10184089839458466}, {'name': 'Realization', 'score': 0.09819076210260391}, {'name': 'Determination', 'score': 0.08889447152614594}]","4,3,4"
2,"The costs are going up, and we have to adjust.","{'begin': 4.2661633, 'end': 6.897629}",0.967334,"[{'name': 'Determination', 'score': 0.3827504515647888}, {'name': 'Concentration', 'score': 0.32776039838790894}, {'name': 'Realization', 'score': 0.2527070939540863}, {'name': 'Distress', 'score': 0.19264037907123566}, {'name': 'Calmness', 'score': 0.14025916159152985}]","3,3,4"
3,Adjust,"{'begin': 8.492456, 'end': 8.992456}",0.91845703,"[{'name': 'Confusion', 'score': 0.14698868989944458}, {'name': 'Distress', 'score': 0.1172279417514801}, {'name': 'Realization', 'score': 0.1167297437787056}, {'name': 'Doubt', 'score': 0.10771520435810089}, {'name': 'Anxiety', 'score': 0.08089831471443176}]","2,1,4"
4,This isn't adjusting. It's arm twisting.,"{'begin': 9.543511, 'end': 12.089893}",0.9523112,"[{'name': 'Distress', 'score': 0.17858146131038666}, {'name': 'Disappointment', 'score': 0.12769603729248047}, {'name': 'Anger', 'score': 0.12003467231988907}, {'name': 'Concentration', 'score': 0.11354269087314606}, {'name': 'Doubt', 'score': 0.10089335590600967}]","2,1,4"
5,You're basically telling us to pay up or shut down.,"{'begin': 12.567341, 'end': 15.432022}",0.98344725,"[{'name': 'Determination', 'score': 0.36001789569854736}, {'name': 'Realization', 'score': 0.25899800658226013}, {'name': 'Anger', 'score': 0.2365288883447647}, {'name': 'Disappointment', 'score': 0.23284515738487244}, {'name': 'Concentration', 'score': 0.1502978503704071}]","2,1,4"
6,Will,"{'begin': 17.36, 'end': 17.86}",0.8623047,"[{'name': 'Boredom', 'score': 0.20549266040325165}, {'name': 'Awkwardness', 'score': 0.1448582112789154}, {'name': 'Confusion', 'score': 0.1335887908935547}, {'name': 'Tiredness', 'score': 0.08896728605031967}, {'name': 'Calmness', 'score': 0.0885278731584549}]","2,2,3"
7,I understand it is tough. But let's find a way to work together.,"{'begin': 18.24, 'end': 22.48}",0.98854417,"[{'name': 'Determination', 'score': 0.35807499289512634}, {'name': 'Contemplation', 'score': 0.2942872643470764}, {'name': 'Realization', 'score': 0.15462425351142883}, {'name': 'Concentration', 'score': 0.13423974812030792}, {'name': 'Calmness', 'score': 0.12745746970176697}]","3,3,4"
8,What if we offer a tier discount system based on volume?,"{'begin': 23.2, 'end': 26.97262}",0.8803711,"[{'name': 'Confusion', 'score': 0.2359548956155777}, {'name': 'Disappointment', 'score': 0.12263257801532745}, {'name': 'Doubt', 'score': 0.11285925656557083}, {'name': 'Surprise (negative)', 'score': 0.09529956430196762}, {'name': 'Contemplation', 'score': 0.07571286708116531}]","2,2,3"
9,"Volume,","{'begin': 28.810766, 'end': 29.310766}",0.99853516,"[{'name': 'Boredom', 'score': 0.127289280295372}, {'name': 'Confusion', 'score': 0.11349885165691376}, {'name': 'Contempt', 'score': 0.10979244112968445}, {'name': 'Disappointment', 'score': 0.08625707775354385}, {'name': 'Awkwardness', 'score': 0.08542142063379288}]","2,1,4"
10,you know we can't order as much as the big chains. That offer does nothing for us.,"{'begin': 30.089476, 'end': 34.165363}",0.9958927,"[{'name': 'Disappointment', 'score': 0.31185558438301086}, {'name': 'Contempt', 'score': 0.25323447585105896}, {'name': 'Realization', 'score': 0.2503215968608856}, {'name': 'Anger', 'score': 0.170962855219841}, {'name': 'Disgust', 'score': 0.16192075610160828}]","2,1,4"
11,Okay. Okay.,"{'begin': 36.011436, 'end': 36.72727}",0.9938965,"[{'name': 'Boredom', 'score': 0.21314550936222076}, {'name': 'Tiredness', 'score': 0.19295498728752136}, {'name': 'Awkwardness', 'score': 0.11874821037054062}, {'name': 'Determination', 'score': 0.09010037779808044}, {'name': 'Calmness', 'score': 0.08437191694974899}]","3,2,4"
12,Let's think about this.,"{'begin': 37.681713, 'end': 38.79523}",0.99780273,"[{'name': 'Determination', 'score': 0.17171019315719604}, {'name': 'Doubt', 'score': 0.16244034469127655}, {'name': 'Concentration', 'score': 0.1289418339729309}, {'name': 'Anger', 'score': 0.12489895522594452}, {'name': 'Calmness', 'score': 0.12277059257030487}]","3,2,3"
13,"So how about we set up an exclusive local authors action in your store,","{'begin': 39.511066, 'end': 44.3782}",0.9515904,"[{'name': 'Interest', 'score': 0.38904064893722534}, {'name': 'Concentration', 'score': 0.3179693818092346}, {'name': 'Confusion', 'score': 0.2887011170387268}, {'name': 'Doubt', 'score': 0.17981313169002533}, {'name': 'Determination', 'score': 0.13665810227394104}]","3,2,4"
14,we supply the books and you provide the,"{'begin': 45.4125, 'end': 48.19715}",,"[{'name': 'Determination', 'score': 0.5069078803062439}, {'name': 'Concentration', 'score': 0.38481155037879944}, {'name': 'Calmness', 'score': 0.3141697645187378}, {'name': 'Pride', 'score': 0.2898140251636505}, {'name': 'Interest', 'score': 0.2889416813850403}]","4,4,5"
