text,time,confidence,speaker_confidence,emotions
"It's not about fairness, Jessica,","{'begin': 0.35883617, 'end': 2.1131463}",0.947168,,"[{'name': 'Admiration', 'score': 0.05863175913691521}, {'name': 'Adoration', 'score': 0.04310400411486626}, {'name': 'Aesthetic Appreciation', 'score': 0.01600019447505474}, {'name': 'Amusement', 'score': 0.05228457227349281}, {'name': 'Anger', 'score': 0.03768486902117729}, {'name': 'Anxiety', 'score': 0.056757401674985886}, {'name': 'Awe', 'score': 0.02525334432721138}, {'name': 'Awkwardness', 'score': 0.13490408658981323}, {'name': 'Boredom', 'score': 0.03883231431245804}, {'name': 'Calmness', 'score': 0.09794068336486816}, {'name': 'Concentration', 'score': 0.05118821561336517}, {'name': 'Confusion', 'score': 0.15215051174163818}, {'name': 'Contemplation', 'score': 0.07585684210062027}, {'name': 'Contempt', 'score': 0.0422065332531929}, {'name': 'Contentment', 'score': 0.0655725970864296}, {'name': 'Craving', 'score': 0.005140063352882862}, {'name': 'Desire', 'score': 0.006632200907915831}, {'name': 'Determination', 'score': 0.07267183810472488}, {'name': 'Disappointment', 'score': 0.10889080911874771}, {'name': 'Disgust', 'score': 0.02700423076748848}, {'name': 'Distress', 'score': 0.06329179555177689}, {'name': 'Doubt', 'score': 0.22964248061180115}, {'name': 'Ecstasy', 'score': 0.019536074250936508}, {'name': 'Embarrassment', 'score': 0.05291451886296272}, {'name': 'Empathic Pain', 'score': 0.005321818869560957}, {'name': 'Entrancement', 'score': 0.011397677473723888}, {'name': 'Envy', 'score': 0.008774610236287117}, {'name': 'Excitement', 'score': 0.11593089252710342}, {'name': 'Fear', 'score': 0.01892212964594364}, {'name': 'Guilt', 'score': 0.04289495572447777}, {'name': 'Horror', 'score': 0.0030100762378424406}, {'name': 'Interest', 'score': 0.11762595176696777}, {'name': 'Joy', 'score': 0.07796412706375122}, {'name': 'Love', 'score': 0.0280461423099041}, {'name': 'Nostalgia', 'score': 0.007838360033929348}, {'name': 'Pain', 'score': 0.005188571289181709}, {'name': 'Pride', 'score': 0.07035644352436066}, {'name': 'Realization', 'score': 0.0786387249827385}, {'name': 'Relief', 'score': 0.007827582769095898}, {'name': 'Romance', 'score': 0.009432544931769371}, {'name': 'Sadness', 'score': 0.037757180631160736}, {'name': 'Satisfaction', 'score': 0.08674468100070953}, {'name': 'Shame', 'score': 0.0432409793138504}, {'name': 'Surprise (negative)', 'score': 0.05908815562725067}, {'name': 'Surprise (positive)', 'score': 0.05396422743797302}, {'name': 'Sympathy', 'score': 0.005739361047744751}, {'name': 'Tiredness', 'score': 0.010029502213001251}, {'name': 'Triumph', 'score': 0.02590668946504593}]"
this business.,"{'begin': 2.7510774, 'end': 3.4687498}",0.9326172,,"[{'name': 'Admiration', 'score': 0.021779309958219528}, {'name': 'Adoration', 'score': 0.01352388970553875}, {'name': 'Aesthetic Appreciation', 'score': 0.012007386423647404}, {'name': 'Amusement', 'score': 0.07649675756692886}, {'name': 'Anger', 'score': 0.029091522097587585}, {'name': 'Anxiety', 'score': 0.02684102952480316}, {'name': 'Awe', 'score': 0.024929048493504524}, {'name': 'Awkwardness', 'score': 0.04541454091668129}, {'name': 'Boredom', 'score': 0.061029963195323944}, {'name': 'Calmness', 'score': 0.08836957067251205}, {'name': 'Concentration', 'score': 0.054997701197862625}, {'name': 'Confusion', 'score': 0.06151030212640762}, {'name': 'Contemplation', 'score': 0.032473161816596985}, {'name': 'Contempt', 'score': 0.022967388853430748}, {'name': 'Contentment', 'score': 0.06705515086650848}, {'name': 'Craving', 'score': 0.009267954155802727}, {'name': 'Desire', 'score': 0.015831511467695236}, {'name': 'Determination', 'score': 0.08889447152614594}, {'name': 'Disappointment', 'score': 0.028140399605035782}, {'name': 'Disgust', 'score': 0.01267777755856514}, {'name': 'Distress', 'score': 0.035783424973487854}, {'name': 'Doubt', 'score': 0.04879935830831528}, {'name': 'Ecstasy', 'score': 0.021160965785384178}, {'name': 'Embarrassment', 'score': 0.022866899147629738}, {'name': 'Empathic Pain', 'score': 0.004659349098801613}, {'name': 'Entrancement', 'score': 0.025152331218123436}, {'name': 'Envy', 'score': 0.020653164014220238}, {'name': 'Excitement', 'score': 0.1164640411734581}, {'name': 'Fear', 'score': 0.01694190688431263}, {'name': 'Guilt', 'score': 0.010414940305054188}, {'name': 'Horror', 'score': 0.006630403455346823}, {'name': 'Interest', 'score': 0.13001462817192078}, {'name': 'Joy', 'score': 0.04974551871418953}, {'name': 'Love', 'score': 0.022271674126386642}, {'name': 'Nostalgia', 'score': 0.017947394400835037}, {'name': 'Pain', 'score': 0.01162206195294857}, {'name': 'Pride', 'score': 0.04559287056326866}, {'name': 'Realization', 'score': 0.09819076210260391}, {'name': 'Relief', 'score': 0.022200796753168106}, {'name': 'Romance', 'score': 0.013061750680208206}, {'name': 'Sadness', 'score': 0.01781044341623783}, {'name': 'Satisfaction', 'score': 0.05287783965468407}, {'name': 'Shame', 'score': 0.011333856731653214}, {'name': 'Surprise (negative)', 'score': 0.02581690065562725}, {'name': 'Surprise (positive)', 'score': 0.10184089839458466}, {'name': 'Sympathy', 'score': 0.005421506706625223}, {'name': 'Tiredness', 'score': 0.015929313376545906}, {'name': 'Triumph', 'score': 0.0265375804156065}]"
"The costs are going up, and we have to adjust.","{'begin': 4.2661633, 'end': 6.897629}",0.967334,,"[{'name': 'Admiration', 'score': 0.006159164942800999}, {'name': 'Adoration', 'score': 0.00253791525028646}, {'name': 'Aesthetic Appreciation', 'score': 0.018433447927236557}, {'name': 'Amusement', 'score': 0.013715771026909351}, {'name': 'Anger', 'score': 0.0603497251868248}, {'name': 'Anxiety', 'score': 0.12432260811328888}, {'name': 'Awe', 'score': 0.03806005045771599}, {'name': 'Awkwardness', 'score': 0.030142342671751976}, {'name': 'Boredom', 'score': 0.024751316756010056}, {'name': 'Calmness', 'score': 0.14025916159152985}, {'name': 'Concentration', 'score': 0.32776039838790894}, {'name': 'Confusion', 'score': 0.0613858699798584}, {'name': 'Contemplation', 'score': 0.126340851187706}, {'name': 'Contempt', 'score': 0.055019114166498184}, {'name': 'Contentment', 'score': 0.012506648898124695}, {'name': 'Craving', 'score': 0.0026814774610102177}, {'name': 'Desire', 'score': 0.0023181200958788395}, {'name': 'Determination', 'score': 0.3827504515647888}, {'name': 'Disappointment', 'score': 0.10097453743219376}, {'name': 'Disgust', 'score': 0.03845619410276413}, {'name': 'Distress', 'score': 0.19264037907123566}, {'name': 'Doubt', 'score': 0.09759972244501114}, {'name': 'Ecstasy', 'score': 0.004101834259927273}, {'name': 'Embarrassment', 'score': 0.013339480385184288}, {'name': 'Empathic Pain', 'score': 0.018742593005299568}, {'name': 'Entrancement', 'score': 0.024172771722078323}, {'name': 'Envy', 'score': 0.003137278836220503}, {'name': 'Excitement', 'score': 0.03326630964875221}, {'name': 'Fear', 'score': 0.04002749174833298}, {'name': 'Guilt', 'score': 0.018981439992785454}, {'name': 'Horror', 'score': 0.011805481277406216}, {'name': 'Interest', 'score': 0.07519712299108505}, {'name': 'Joy', 'score': 0.0052487971261143684}, {'name': 'Love', 'score': 0.002505651442334056}, {'name': 'Nostalgia', 'score': 0.004382607061415911}, {'name': 'Pain', 'score': 0.021695809438824654}, {'name': 'Pride', 'score': 0.02045552060008049}, {'name': 'Realization', 'score': 0.2527070939540863}, {'name': 'Relief', 'score': 0.011357685551047325}, {'name': 'Romance', 'score': 0.0032660493161529303}, {'name': 'Sadness', 'score': 0.02972121722996235}, {'name': 'Satisfaction', 'score': 0.01646299473941326}, {'name': 'Shame', 'score': 0.014310411177575588}, {'name': 'Surprise (negative)', 'score': 0.06067277118563652}, {'name': 'Surprise (positive)', 'score': 0.027152376249432564}, {'name': 'Sympathy', 'score': 0.014864416792988777}, {'name': 'Tiredness', 'score': 0.06253591179847717}, {'name': 'Triumph', 'score': 0.012694017961621284}]"
Adjust,"{'begin': 8.492456, 'end': 8.992456}",0.91845703,,"[{'name': 'Admiration', 'score': 0.008041429333388805}, {'name': 'Adoration', 'score': 0.007296816445887089}, {'name': 'Aesthetic Appreciation', 'score': 0.0076234592124819756}, {'name': 'Amusement', 'score': 0.03965252265334129}, {'name': 'Anger', 'score': 0.059262923896312714}, {'name': 'Anxiety', 'score': 0.08089831471443176}, {'name': 'Awe', 'score': 0.01916963793337345}, {'name': 'Awkwardness', 'score': 0.06471043080091476}, {'name': 'Boredom', 'score': 0.030083339661359787}, {'name': 'Calmness', 'score': 0.05752094089984894}, {'name': 'Concentration', 'score': 0.0376884862780571}, {'name': 'Confusion', 'score': 0.14698868989944458}, {'name': 'Contemplation', 'score': 0.05023219436407089}, {'name': 'Contempt', 'score': 0.06078806519508362}, {'name': 'Contentment', 'score': 0.012276463210582733}, {'name': 'Craving', 'score': 0.006641843356192112}, {'name': 'Desire', 'score': 0.01400458812713623}, {'name': 'Determination', 'score': 0.0685923844575882}, {'name': 'Disappointment', 'score': 0.07499641925096512}, {'name': 'Disgust', 'score': 0.0649861991405487}, {'name': 'Distress', 'score': 0.1172279417514801}, {'name': 'Doubt', 'score': 0.10771520435810089}, {'name': 'Ecstasy', 'score': 0.009592592716217041}, {'name': 'Embarrassment', 'score': 0.017037754878401756}, {'name': 'Empathic Pain', 'score': 0.014681520871818066}, {'name': 'Entrancement', 'score': 0.014273494482040405}, {'name': 'Envy', 'score': 0.009833451360464096}, {'name': 'Excitement', 'score': 0.04154055565595627}, {'name': 'Fear', 'score': 0.04721665009856224}, {'name': 'Guilt', 'score': 0.013087371364235878}, {'name': 'Horror', 'score': 0.024105599150061607}, {'name': 'Interest', 'score': 0.03807983919978142}, {'name': 'Joy', 'score': 0.024057136848568916}, {'name': 'Love', 'score': 0.0063510918989777565}, {'name': 'Nostalgia', 'score': 0.003973902203142643}, {'name': 'Pain', 'score': 0.022337540984153748}, {'name': 'Pride', 'score': 0.0122615285217762}, {'name': 'Realization', 'score': 0.1167297437787056}, {'name': 'Relief', 'score': 0.017727544531226158}, {'name': 'Romance', 'score': 0.008792114444077015}, {'name': 'Sadness', 'score': 0.04626477137207985}, {'name': 'Satisfaction', 'score': 0.02267753891646862}, {'name': 'Shame', 'score': 0.022746512666344643}, {'name': 'Surprise (negative)', 'score': 0.07653602212667465}, {'name': 'Surprise (positive)', 'score': 0.03418676182627678}, {'name': 'Sympathy', 'score': 0.010431055910885334}, {'name': 'Tiredness', 'score': 0.021382883191108704}, {'name': 'Triumph', 'score': 0.014099638909101486}]"
This isn't adjusting. It's arm twisting.,"{'begin': 9.543511, 'end': 12.089893}",0.9523112,,"[{'name': 'Admiration', 'score': 0.027887223288416862}, {'name': 'Adoration', 'score': 0.006905778776854277}, {'name': 'Aesthetic Appreciation', 'score': 0.04053794965147972}, {'name': 'Amusement', 'score': 0.024026423692703247}, {'name': 'Anger', 'score': 0.12003467231988907}, {'name': 'Anxiety', 'score': 0.09131821244955063}, {'name': 'Awe', 'score': 0.04360061511397362}, {'name': 'Awkwardness', 'score': 0.03600999712944031}, {'name': 'Boredom', 'score': 0.0256637092679739}, {'name': 'Calmness', 'score': 0.033892083913087845}, {'name': 'Concentration', 'score': 0.11354269087314606}, {'name': 'Confusion', 'score': 0.06490664184093475}, {'name': 'Contemplation', 'score': 0.09475712478160858}, {'name': 'Contempt', 'score': 0.050606247037649155}, {'name': 'Contentment', 'score': 0.00666712736710906}, {'name': 'Craving', 'score': 0.0035583097487688065}, {'name': 'Desire', 'score': 0.0011874029878526926}, {'name': 'Determination', 'score': 0.07461325824260712}, {'name': 'Disappointment', 'score': 0.12769603729248047}, {'name': 'Disgust', 'score': 0.08133840560913086}, {'name': 'Distress', 'score': 0.17858146131038666}, {'name': 'Doubt', 'score': 0.10089335590600967}, {'name': 'Ecstasy', 'score': 0.010796019807457924}, {'name': 'Embarrassment', 'score': 0.02311626262962818}, {'name': 'Empathic Pain', 'score': 0.013095960952341557}, {'name': 'Entrancement', 'score': 0.02708049677312374}, {'name': 'Envy', 'score': 0.0031521699856966734}, {'name': 'Excitement', 'score': 0.04818565770983696}, {'name': 'Fear', 'score': 0.043103545904159546}, {'name': 'Guilt', 'score': 0.010157371871173382}, {'name': 'Horror', 'score': 0.033854033797979355}, {'name': 'Interest', 'score': 0.0839041918516159}, {'name': 'Joy', 'score': 0.00950070470571518}, {'name': 'Love', 'score': 0.001558604883030057}, {'name': 'Nostalgia', 'score': 0.0014580991119146347}, {'name': 'Pain', 'score': 0.021652445197105408}, {'name': 'Pride', 'score': 0.015986861661076546}, {'name': 'Realization', 'score': 0.09122131019830704}, {'name': 'Relief', 'score': 0.00445345276966691}, {'name': 'Romance', 'score': 0.001570252701640129}, {'name': 'Sadness', 'score': 0.048143576830625534}, {'name': 'Satisfaction', 'score': 0.016788095235824585}, {'name': 'Shame', 'score': 0.016039159148931503}, {'name': 'Surprise (negative)', 'score': 0.08834856003522873}, {'name': 'Surprise (positive)', 'score': 0.027875680476427078}, {'name': 'Sympathy', 'score': 0.005585139617323875}, {'name': 'Tiredness', 'score': 0.019645841792225838}, {'name': 'Triumph', 'score': 0.010611431673169136}]"
You're basically telling us to pay up or shut down.,"{'begin': 12.567341, 'end': 15.432022}",0.98344725,,"[{'name': 'Admiration', 'score': 0.012444180436432362}, {'name': 'Adoration', 'score': 0.0034828234929591417}, {'name': 'Aesthetic Appreciation', 'score': 0.010185610502958298}, {'name': 'Amusement', 'score': 0.042118873447179794}, {'name': 'Anger', 'score': 0.2365288883447647}, {'name': 'Anxiety', 'score': 0.08171914517879486}, {'name': 'Awe', 'score': 0.014154208824038506}, {'name': 'Awkwardness', 'score': 0.04610666632652283}, {'name': 'Boredom', 'score': 0.03851206973195076}, {'name': 'Calmness', 'score': 0.1049707904458046}, {'name': 'Concentration', 'score': 0.1502978503704071}, {'name': 'Confusion', 'score': 0.1002352386713028}, {'name': 'Contemplation', 'score': 0.1416141539812088}, {'name': 'Contempt', 'score': 0.1448836475610733}, {'name': 'Contentment', 'score': 0.026615243405103683}, {'name': 'Craving', 'score': 0.014055320993065834}, {'name': 'Desire', 'score': 0.0041093360632658005}, {'name': 'Determination', 'score': 0.36001789569854736}, {'name': 'Disappointment', 'score': 0.23284515738487244}, {'name': 'Disgust', 'score': 0.0698217898607254}, {'name': 'Distress', 'score': 0.09566349536180496}, {'name': 'Doubt', 'score': 0.11499107629060745}, {'name': 'Ecstasy', 'score': 0.003020547330379486}, {'name': 'Embarrassment', 'score': 0.041865285485982895}, {'name': 'Empathic Pain', 'score': 0.0125967375934124}, {'name': 'Entrancement', 'score': 0.006621252279728651}, {'name': 'Envy', 'score': 0.025765931233763695}, {'name': 'Excitement', 'score': 0.021546650677919388}, {'name': 'Fear', 'score': 0.01687360182404518}, {'name': 'Guilt', 'score': 0.016783878207206726}, {'name': 'Horror', 'score': 0.007525894790887833}, {'name': 'Interest', 'score': 0.07491888105869293}, {'name': 'Joy', 'score': 0.007206203415989876}, {'name': 'Love', 'score': 0.0027582517359405756}, {'name': 'Nostalgia', 'score': 0.004199099261313677}, {'name': 'Pain', 'score': 0.014288520440459251}, {'name': 'Pride', 'score': 0.02525811456143856}, {'name': 'Realization', 'score': 0.25899800658226013}, {'name': 'Relief', 'score': 0.011381048709154129}, {'name': 'Romance', 'score': 0.003811894915997982}, {'name': 'Sadness', 'score': 0.04002010077238083}, {'name': 'Satisfaction', 'score': 0.017740774899721146}, {'name': 'Shame', 'score': 0.03155316039919853}, {'name': 'Surprise (negative)', 'score': 0.06363429129123688}, {'name': 'Surprise (positive)', 'score': 0.027942989021539688}, {'name': 'Sympathy', 'score': 0.01422649621963501}, {'name': 'Tiredness', 'score': 0.03693908452987671}, {'name': 'Triumph', 'score': 0.008792279288172722}]"
Will,"{'begin': 17.36, 'end': 17.86}",0.8623047,,"[{'name': 'Admiration', 'score': 0.010357189923524857}, {'name': 'Adoration', 'score': 0.00983267743140459}, {'name': 'Aesthetic Appreciation', 'score': 0.00859143678098917}, {'name': 'Amusement', 'score': 0.05152406916022301}, {'name': 'Anger', 'score': 0.03428923338651657}, {'name': 'Anxiety', 'score': 0.04934931918978691}, {'name': 'Awe', 'score': 0.01431107334792614}, {'name': 'Awkwardness', 'score': 0.1448582112789154}, {'name': 'Boredom', 'score': 0.20549266040325165}, {'name': 'Calmness', 'score': 0.0885278731584549}, {'name': 'Concentration', 'score': 0.022695235908031464}, {'name': 'Confusion', 'score': 0.1335887908935547}, {'name': 'Contemplation', 'score': 0.04354645311832428}, {'name': 'Contempt', 'score': 0.038191284984350204}, {'name': 'Contentment', 'score': 0.027181794866919518}, {'name': 'Craving', 'score': 0.006804080680012703}, {'name': 'Desire', 'score': 0.02064456045627594}, {'name': 'Determination', 'score': 0.033434320241212845}, {'name': 'Disappointment', 'score': 0.06771330535411835}, {'name': 'Disgust', 'score': 0.0316447913646698}, {'name': 'Distress', 'score': 0.07630226016044617}, {'name': 'Doubt', 'score': 0.08776693791151047}, {'name': 'Ecstasy', 'score': 0.008021462708711624}, {'name': 'Embarrassment', 'score': 0.027255075052380562}, {'name': 'Empathic Pain', 'score': 0.01608293503522873}, {'name': 'Entrancement', 'score': 0.01156370248645544}, {'name': 'Envy', 'score': 0.014754405245184898}, {'name': 'Excitement', 'score': 0.028199639171361923}, {'name': 'Fear', 'score': 0.028959475457668304}, {'name': 'Guilt', 'score': 0.018887212499976158}, {'name': 'Horror', 'score': 0.013377371244132519}, {'name': 'Interest', 'score': 0.03621711581945419}, {'name': 'Joy', 'score': 0.024284586310386658}, {'name': 'Love', 'score': 0.006955791264772415}, {'name': 'Nostalgia', 'score': 0.007538315374404192}, {'name': 'Pain', 'score': 0.03339410573244095}, {'name': 'Pride', 'score': 0.012898764573037624}, {'name': 'Realization', 'score': 0.0475829653441906}, {'name': 'Relief', 'score': 0.026754923164844513}, {'name': 'Romance', 'score': 0.010973284021019936}, {'name': 'Sadness', 'score': 0.07906612008810043}, {'name': 'Satisfaction', 'score': 0.024513667449355125}, {'name': 'Shame', 'score': 0.024223430082201958}, {'name': 'Surprise (negative)', 'score': 0.04375825449824333}, {'name': 'Surprise (positive)', 'score': 0.03185182437300682}, {'name': 'Sympathy', 'score': 0.01332959346473217}, {'name': 'Tiredness', 'score': 0.08896728605031967}, {'name': 'Triumph', 'score': 0.011544235050678253}]"
I understand it is tough. But let's find a way to work together.,"{'begin': 18.24, 'end': 22.48}",0.98854417,,"[{'name': 'Admiration', 'score': 0.03615199774503708}, {'name': 'Adoration', 'score': 0.020046446472406387}, {'name': 'Aesthetic Appreciation', 'score': 0.02039140835404396}, {'name': 'Amusement', 'score': 0.02270122990012169}, {'name': 'Anger', 'score': 0.016494791954755783}, {'name': 'Anxiety', 'score': 0.027598368003964424}, {'name': 'Awe', 'score': 0.010049561969935894}, {'name': 'Awkwardness', 'score': 0.060138147324323654}, {'name': 'Boredom', 'score': 0.03220047801733017}, {'name': 'Calmness', 'score': 0.12745746970176697}, {'name': 'Concentration', 'score': 0.13423974812030792}, {'name': 'Confusion', 'score': 0.04598749801516533}, {'name': 'Contemplation', 'score': 0.2942872643470764}, {'name': 'Contempt', 'score': 0.032125331461429596}, {'name': 'Contentment', 'score': 0.10102428495883942}, {'name': 'Craving', 'score': 0.0158415287733078}, {'name': 'Desire', 'score': 0.010689610615372658}, {'name': 'Determination', 'score': 0.35807499289512634}, {'name': 'Disappointment', 'score': 0.11214154958724976}, {'name': 'Disgust', 'score': 0.011026403866708279}, {'name': 'Distress', 'score': 0.033797360956668854}, {'name': 'Doubt', 'score': 0.10306654125452042}, {'name': 'Ecstasy', 'score': 0.01095963642001152}, {'name': 'Embarrassment', 'score': 0.023957950994372368}, {'name': 'Empathic Pain', 'score': 0.0145999975502491}, {'name': 'Entrancement', 'score': 0.011286560446023941}, {'name': 'Envy', 'score': 0.016198087483644485}, {'name': 'Excitement', 'score': 0.04802388325333595}, {'name': 'Fear', 'score': 0.018657909706234932}, {'name': 'Guilt', 'score': 0.013975223526358604}, {'name': 'Horror', 'score': 0.0026548204477876425}, {'name': 'Interest', 'score': 0.09140830487012863}, {'name': 'Joy', 'score': 0.05128132551908493}, {'name': 'Love', 'score': 0.04535629227757454}, {'name': 'Nostalgia', 'score': 0.03625836968421936}, {'name': 'Pain', 'score': 0.011972010135650635}, {'name': 'Pride', 'score': 0.03081623837351799}, {'name': 'Realization', 'score': 0.15462425351142883}, {'name': 'Relief', 'score': 0.0678568109869957}, {'name': 'Romance', 'score': 0.020910492166876793}, {'name': 'Sadness', 'score': 0.043871745467185974}, {'name': 'Satisfaction', 'score': 0.11103898286819458}, {'name': 'Shame', 'score': 0.012944700196385384}, {'name': 'Surprise (negative)', 'score': 0.008874657563865185}, {'name': 'Surprise (positive)', 'score': 0.02008666843175888}, {'name': 'Sympathy', 'score': 0.06613007187843323}, {'name': 'Tiredness', 'score': 0.05914963409304619}, {'name': 'Triumph', 'score': 0.03934665024280548}]"
What if we offer a tier discount system based on volume?,"{'begin': 23.2, 'end': 26.97262}",0.8803711,,"[{'name': 'Admiration', 'score': 0.0034431242384016514}, {'name': 'Adoration', 'score': 0.0012415320379659534}, {'name': 'Aesthetic Appreciation', 'score': 0.004326703492552042}, {'name': 'Amusement', 'score': 0.018767567351460457}, {'name': 'Anger', 'score': 0.07483717799186707}, {'name': 'Anxiety', 'score': 0.04382028803229332}, {'name': 'Awe', 'score': 0.009623212739825249}, {'name': 'Awkwardness', 'score': 0.039765335619449615}, {'name': 'Boredom', 'score': 0.04701109603047371}, {'name': 'Calmness', 'score': 0.05963956192135811}, {'name': 'Concentration', 'score': 0.053968384861946106}, {'name': 'Confusion', 'score': 0.2359548956155777}, {'name': 'Contemplation', 'score': 0.07571286708116531}, {'name': 'Contempt', 'score': 0.06701134145259857}, {'name': 'Contentment', 'score': 0.00574505515396595}, {'name': 'Craving', 'score': 0.002516757696866989}, {'name': 'Desire', 'score': 0.0014146011089906096}, {'name': 'Determination', 'score': 0.05721224471926689}, {'name': 'Disappointment', 'score': 0.12263257801532745}, {'name': 'Disgust', 'score': 0.0600895918905735}, {'name': 'Distress', 'score': 0.072542704641819}, {'name': 'Doubt', 'score': 0.11285925656557083}, {'name': 'Ecstasy', 'score': 0.0011344400700181723}, {'name': 'Embarrassment', 'score': 0.015620685182511806}, {'name': 'Empathic Pain', 'score': 0.02014383114874363}, {'name': 'Entrancement', 'score': 0.0034947432577610016}, {'name': 'Envy', 'score': 0.013363389298319817}, {'name': 'Excitement', 'score': 0.010504281148314476}, {'name': 'Fear', 'score': 0.019033439457416534}, {'name': 'Guilt', 'score': 0.015597132034599781}, {'name': 'Horror', 'score': 0.0065487222746014595}, {'name': 'Interest', 'score': 0.0472894161939621}, {'name': 'Joy', 'score': 0.003215748118236661}, {'name': 'Love', 'score': 0.0015496722189709544}, {'name': 'Nostalgia', 'score': 0.002268717158585787}, {'name': 'Pain', 'score': 0.019214564934372902}, {'name': 'Pride', 'score': 0.007609195541590452}, {'name': 'Realization', 'score': 0.07353676110506058}, {'name': 'Relief', 'score': 0.0036792715545743704}, {'name': 'Romance', 'score': 0.0017961993580684066}, {'name': 'Sadness', 'score': 0.05030512437224388}, {'name': 'Satisfaction', 'score': 0.004354327917098999}, {'name': 'Shame', 'score': 0.013722948729991913}, {'name': 'Surprise (negative)', 'score': 0.09529956430196762}, {'name': 'Surprise (positive)', 'score': 0.02140658348798752}, {'name': 'Sympathy', 'score': 0.019479995593428612}, {'name': 'Tiredness', 'score': 0.018127990886569023}, {'name': 'Triumph', 'score': 0.005018158815801144}]"
"Volume,","{'begin': 28.810766, 'end': 29.310766}",0.99853516,,"[{'name': 'Admiration', 'score': 0.012806165963411331}, {'name': 'Adoration', 'score': 0.011102787218987942}, {'name': 'Aesthetic Appreciation', 'score': 0.005943092983216047}, {'name': 'Amusement', 'score': 0.039314355701208115}, {'name': 'Anger', 'score': 0.0656878724694252}, {'name': 'Anxiety', 'score': 0.02694428525865078}, {'name': 'Awe', 'score': 0.01572268456220627}, {'name': 'Awkwardness', 'score': 0.08542142063379288}, {'name': 'Boredom', 'score': 0.127289280295372}, {'name': 'Calmness', 'score': 0.08390476554632187}, {'name': 'Concentration', 'score': 0.034052420407533646}, {'name': 'Confusion', 'score': 0.11349885165691376}, {'name': 'Contemplation', 'score': 0.022773075848817825}, {'name': 'Contempt', 'score': 0.10979244112968445}, {'name': 'Contentment', 'score': 0.025097202509641647}, {'name': 'Craving', 'score': 0.0033747393172234297}, {'name': 'Desire', 'score': 0.005845304112881422}, {'name': 'Determination', 'score': 0.03704928234219551}, {'name': 'Disappointment', 'score': 0.08625707775354385}, {'name': 'Disgust', 'score': 0.03985358774662018}, {'name': 'Distress', 'score': 0.04134030267596245}, {'name': 'Doubt', 'score': 0.0615704171359539}, {'name': 'Ecstasy', 'score': 0.008211132138967514}, {'name': 'Embarrassment', 'score': 0.016075605526566505}, {'name': 'Empathic Pain', 'score': 0.01463248673826456}, {'name': 'Entrancement', 'score': 0.01449902169406414}, {'name': 'Envy', 'score': 0.022476673126220703}, {'name': 'Excitement', 'score': 0.034115441143512726}, {'name': 'Fear', 'score': 0.026523489505052567}, {'name': 'Guilt', 'score': 0.011678517796099186}, {'name': 'Horror', 'score': 0.010887408629059792}, {'name': 'Interest', 'score': 0.04552828148007393}, {'name': 'Joy', 'score': 0.026961393654346466}, {'name': 'Love', 'score': 0.008663466200232506}, {'name': 'Nostalgia', 'score': 0.010168195702135563}, {'name': 'Pain', 'score': 0.015543350018560886}, {'name': 'Pride', 'score': 0.011494476348161697}, {'name': 'Realization', 'score': 0.04438251256942749}, {'name': 'Relief', 'score': 0.01863599382340908}, {'name': 'Romance', 'score': 0.007454948034137487}, {'name': 'Sadness', 'score': 0.044499363750219345}, {'name': 'Satisfaction', 'score': 0.024575289338827133}, {'name': 'Shame', 'score': 0.014888475649058819}, {'name': 'Surprise (negative)', 'score': 0.05022633820772171}, {'name': 'Surprise (positive)', 'score': 0.026826664805412292}, {'name': 'Sympathy', 'score': 0.014755265787243843}, {'name': 'Tiredness', 'score': 0.03735825791954994}, {'name': 'Triumph', 'score': 0.008843621239066124}]"
